geneset_name	geneset_genes	geneset_size
DNA damage checkpoint (GO:0000077)	TAOK1,RPL26,DONSON,TIPIN,DDX39B,FBXO31,SOX4,HINFP,CCND1,WAC,ETAA1,BABAM2,USP28,UIMC1,CDC14B,RHNO1,BRCC3,FOXN3,CLSPN,CRADD,THOC5,FEM1B,PIDD1,ABRAXAS1,BRSK1,CCAR2,CDC5L,PLK1,RPS27L,CDKN1A,TAOK2,FZR1,HMGA2,MRNIP,CLOCK,NOP53,E2F1,THOC1,CASP2,RFWD3,NEK11,MUC1,MAP3K20,TAOK3,CDK5RAP3,TIPRL,INTS7,BABAM1,MDM2,DTL,ATF2	51
PI3-K signaling (GO:0048017)	AKT1,AKT2,AKT3,BTK,GRB10,GRB2,HSPB1,ILK,MTCP1,PDK2,PDPK1,PIK3CA,PIK3CG,PIK3R1,PIK3R2,PAK1,PRKCA,PRKCB,PRKCZ,PTEN,TCL1A	21
Wnt signaling (GO:0016055)	AES,APC,AXIN1,BCL9,CSNK1A1,CSNK1D,CSNK1G1,CSNK2A1,CTBP1,CTBP2,CTNNB1,CTNNBIP1,CXXC4,DIXDC1,DKK1,DVL1,DVL2,EP300,FRAT1,FZD1,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,GSK3A,GSK3B,LEF1,LRP5,LRP6,NKD1,PORCN,PPP2CA,PPP2R1A,PYGO1,SENP2,SFRP1,SFRP4,SOX17,TCF7,TCF7L1,WIF1,WNT1,WNT10A,WNT16,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT6,WNT7A,WNT7B,WNT8A	56
Intrinsic apoptotic pathway (GO:0097193)	PTTG1IP,CHEK2,NONO,DDIAS,MOAP1,LRRK2,YBX3,S1OOAO,LGALS12,LCK,RPL26,CAV1,SOD1,DAPK2,HERPUD1,UBB,TP53,MYBBP1A,SELENOS,PLAUR,PRKN,TP53BP2,SYVN1,MPAK7,MIF,SRC,TRIM32,TP73,CHAC1,NOL3,USP28,ZNF385A,SNW1,CDKN2D,RPS3,CASP9,PMAIP1,SIAH1,MMP9,SFPQ,EPO,TMBIM6,HYOU1,BAD,DNAJC10,CCAR2,MAGEA3,SFN,PARK7,MAP3K5,ENO1,MSX1,STK25,STK11,RACK1,DNAJA1,BRCA1,PHLDA3,RPS27L,EP300,DDIT3,PDK2,PDK1,CXCL12,URI1,BRSK2,BCAP31,TNFRSF10B,MLLT11,CRIP1,NCK1,TPT1,HSPA1A,CASP4,IFI16,HIF1A,KDM1A,OPA1,CYLD,EPHA2,PPP1R13B,BCL2L11,TRIAP1,PPM1F,HTRA2,CREB3,CLU,PINK1,SLC9A3R1,CDIP1,CD74,BOK,UBQLN1,ESF1,SEPT4,FHIT,HINT1,XBP1,DDX5,ARL6IP5,P4HB,BCL3,FIS1,TMEM117,SNAI2,NACC2,BNIP3,GSDME,IKBKE,TOPORS,GSKIP,NDUFA13,SNAI1,STK24,NFE2L2,FBXO18,BCL2,SIRT1,MUC1,SELENOK,ZNF385B,BAG6,EIF2AK3,DYRK2,RRP8,HIC1,BAG5,PYCARD,TXNDC12,NOC2L,NKX3-1,AEN,MCL1,BCL2L1,BAX,ATP2A1,URS00003D1AE3_9606,NDUFS3,DNM1L,TMEM161A,TRIB3,PDCD10,MDM2,DDX3X,BCLAF1,ZNF622,CD44,FBXW7,PPIF,ACKR3,S100A8	151
Extrinsic apoptotic pathway (GO:0097191)	HIPK1,SORT1,MOAP1,BAG3,PELI3,ERBB3,ITGAV,DEDD2,FAIM2,PSME3,CAV1,TLR3,TRAF1,HMOX1,PTEN,GSTP1,GDNF,THBS1,TMC8,IFI6,RIPK1,PAK2,MAPK7,FADD,BID,SRC,NOL3,FGG,FGB,FGA,SH3RF1,INHBA,PMAIP1,DEPTOR,IL1B,IFNG,SFRP1,FEM1B,TNFAIP3,AGT,BAD,PARK7,LTBR,UNC5B,TNF,ZMYND11,TGFBR1,ACVR1B,MADD,FAS,HTT,PHIP,BRCA1,PPP2R1B,KIAAO141,TIMP3,TNFSF10,TRAF2,PEA15,TGFB2,FASLG,TNFRSF10A,ITGA6,TERT,MLLT11,CSF2,HSPA1A,CD70,BIRC6,ICAM1,CYLD,FGFR3,LGALS3,DDX47,BCL10,HTRA2,CASP8AP2,DAB2IP,PDPK1,RNF41,SIAH2,G0S2,GPX1,SERPINE1,PML,IL12A,ATF3,SP100,ACVR1,BCL2,GATA1,CASP8,HSPA1B,RELA,TNFRSF12A,PYCARD,TNFSF12,BLOC1S2,AR,SMAD3,TRADD,MCL1,BCL2L1,BAX,SCG2,SIVA1,URS00002C6949_9606,NGF,TGFB1,CD27,RFFL,GABARAP,AGTR2,DDX3X,STX4,PF4,TMBIM1,RNF34,CFLAR,IGF1	120
Cell cycle (GO:0022402)	GSK3B,TGFB1,SMAD3,SMAD4,CD2A2,CDN1B,CCND3,CCND2,CDK4,CDK6,SCF,SKP2,ABL1,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,RB,E2F1,E2F2,E2F3,E2F4,E2F5,E2F6,RBL1,UBE2F,TFDP1,CCNE1,CCNE2,CDK2,CDN1A,CCNA1,CCNA2,CCNH,CDC6,ORC1,ORC2,ORC3,ORC4,ORC5,ORC6,CDC45,ARF1,MDM2,P53,EP000,PRKDC,GA45A,1433G,PCNA,MPIP1,ATR,ATM,CHK1,CHK2,CDK1,CCNB1,CCNB2,CCNB3,WEE1,PMYT1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MCM9,MCM10,CDC7,DBF4A,PLK1,APC,CADH1,CC14A,CC14B,MEN1,MPIP2,MPIP3,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,BUB1,BUB3,MPEG1,BUB1B,MD1L1,MD2L2,MD2L1,SMC1A,ESPL1,PTTG3,PTTG2,PTTG1	102
Histone modification (GO:0016570)	KANSL1,KDM5A,CTCFL,KAT2A,UBE2B,USP3,EYA3,EYA1,DOT1L,RBBP5,ACTL6A,WDR5,KDM8,SETD6,MIER2,BAP1,HASPIN,USP49,MSL2,ELK4,TAF7,TAF5,LEO1,UBE2E1,NCOA3,KMT2A,PHF19,CTBP1,MSL1,UHRF1,SETDB2,SIN3A,IWS1,BEND3,PHF20,HAT1,HDAC3,DNMT1,SART3,EYA2,KDM5C,WBP2,KAT14,ATXN7L3,PADI2,KAT8,NAA60,CTR9,CDK2,CUL4B,NSD3,SETD2,PCGF6,KANSL2,HDAC1,NR1H4,PIH1D1,REST,WAC,ING3,NTMT1,KANSL3,ATRX,UBE2N,NIPBL,OGT,ATXN7,UIMC1,WDR61,PRDM12,PRMT7,KDM6B,ELP3,SETD1A,RBM14,JAK2,EHMT1,SNW1,MSL3,BRCC3,BRPF1,HDAC6,SUPT7L,TET2,NAA40,SKR16C5,KDM4B,RYBP,USP51,FOXP3,HCFC1,KAT2B,ING5,KAT6B,CDK1,AUTS2,SETD7,KAT5,ZNF304,DTX3L,CHD5,MIER1,CHTOP,HDAC2,RNF2,CREBBP,KAT6A,EZH2,TAF1,ZNF451,KDM1A,FMR1,JADE1,KMT5A,SUV39H2,PRMT6,DPY30,DDB2,EP400,JADE2,NSD1,ZNF335,EHMT2,DDB1,TAF12,PKN1,UBE2A,RPS6KA4,ARRB1,HMGA2,SUV39H1,EPC1,RCOR1,DNMT3B,ASH2L,RUVBL1,TAF9,LEF1,PHC1,KDM5D,PAXIP1,PER1,CLOCK,COPRS,SETD1B,SMARCAD1,KMT2B,BRD7,DMAP1,RING1,ENY2,RNF40,MYSM1,ZNF274,BRD8,RPS6KA5,BAZ1B,EED,TAF5L,TADA3,NACC2,PHF8,SMYD3,MBIP,KDM7A,POLE3,PAF1,CXXC1,SIRT6,HUWE1,YEATS4,JADE3,PRMT2,USP16,H2AFY,PRKCA,HDAC11,PRKCB,TET1,NEK11,KDM5B,SIRT1,MAP3K7,MAPK3,MUC1,saga_human,CARM1,MYB,PHF1,TET3,KDM2A,TRIP12,CCNA2,KMT5B,KAT7,KDM1B,MT3,PRDM5,SNCA,MCRS1,TADA2A,KDM2B,RNF20,AKAP8,ELP4,BFD1,KMT2C,KDM4A,PHF2,USP15,TAF6L,KDM3A,TRRAP,TADA1,NOC2L,OTUB1,MORF4L1,RUVBL2,RAPGEF3,TRIM16,SPI1,BCOR,SETMAR,PRMT1,SUPT6H,HDAC4,CAMK1,SUDS3,PRKCD,DCAF1,FBL,SUPT3H,RNF168,NAA50,SUZ12,KDM4D,USP22,LIF,SMARCB1,HDAC5,HDAC10,ATF2,CDK9,HLCS,UBR5,ING4,PRMT8,POLE4,ASH1L	249
Oxidative stress (GO:0006979)	APTX,PTPRK,PDGFRA,SETX,PNPT1,LRRK2,SOD2,TP53,ECT2,SELENOS,PRKN,SLC25A24,MAPK7,AQP1,TPM1,CHUK,DHRS2,PLA2R1,RPS3,NET1,HDAC6,ETV5,BRF2,MMP9,SESN2,PLEKHA1,AKT1,MAPK1,VKORC1L1,ALDH3B1,RAD52,PARK7,MAP3K5,G6PD,APOA4,STK25,PYROXD1,MGST1,DAPK1,MAPK9,MAPK8,PRDX3,PRDX5,VRK2,PRKD1,PDK2,TRPM2,GBA,HIF1A,PXN,EGFR,ABL1,HTRA2,FXN,NCF1,PINK1,PARP1,ERCC6L2,ATP13A2,JUN,ARL6IP5,PYCR1,SOD1,FABP1,ATF4,GSKIP,STK24,PRDX2,NFE2L2,AKR1C3,SIRT1,CRYGD,MAPK3,RHOB,ANKZF1,CHD6,RELA,MT3,IL6,NOS3,ARNT,ZNF580,WNT16,URS0000324096_9606,FOS,PRKCD,PYCR2,TMEM161A,ANKRD2,PDCD10,ZNF622,ROMO1,RBM11,PPIF,PRR5L	95
Ras signaling (GO:0007265)	MAPK1,MAPK3,AKT1,AKT2,AKT3,ALK,ARHGAP35,ARHGEF2,CCND1,CCND2,CCND3,CDK4,CDK6,CNKSR1,CNKSR2,CYTH2,DUSP1,DUSP2,DUSP3,DUSP4,DUSP5,DUSP6,E2F1,E2F2,E2F3,ECT2,EGFR,EIF4EBP1,EIF4EBP2,EIF4EBP3,ERBB2,ETS1,ETS2,EXOC1,EXOC2,EXOC3,EXOC4,EXOC5,EXOC6,EXOC7,EXOC8,FGFR1,FGFR2,FGFR3,FGFR4,FLT3,FNTA,FNTB,FOS,GFB2,ICMT,INSR,INSRR,IRS1,IRS2,JUN,KSR1,KSR2,MDM2,MAP2K1,MAP2K2,MET,MLST8,MTOR,NF1,NFE2L2,NFKB1,PAK1,PAK2,PAK3,PAK4,PDGFRA,PDGFRB,PDPK1,PEBP1,PIK3CA,PICI3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R4,PIC3R5,PIK3R6,PIN1,PLXNB1,PPP1CA,PREX2,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3,PTEN,RAC1,RAC2,RAC3,AFAF,BRAF,RAF1,RALA,RALB,RALBP1,RALGDS,RAPGEF1,RAPGEF2,KRAS,MRAS,NRAS,RASA1,RASA2,RASA3,RASAL1,RASAL2,RASAL3,RASGRF1,RASGRF2,RASGRP1,RASGRP2,RASGRP3,RASGRP4,RASSF1,RASSF2,RASSF3,RASSF4,RASSF5,RASSF6,RASSF7,RASSF8,RASSF9,RASSF10,RB1,RCE1,RHEB,RHOA,RHOB,RHOC,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KB1,RPS6KB2,RPTOR,SAV1,SCRIB,SHC1,SHC2,SHC3,SHC4,SHOC2,SOS1,SOS2,SPRED1,SPRED2,SPRED3,SPRY1,SPRY2,SPRY3,SPRY4,STK3,STK4,STK11,TBK1,TFDP1,TFDP2,TIAM1,TIAM2,TP53,TSC1,TSC2,VAV1,YAP1	178
TGF-B signaling (GO:0007179)	WFIKKN2,PTPRK,COL1A2,CD109,FSHB,TGFBR3,CAV1,SMURF1,SKI,SKOR2,WFIKKN1,COL3A1,ZNF703,DAB2,THBS1,ADAMTSL2,ITGA3,PEG10,BAMBI,LDLRAD4,SRC,SMAD7,APOA1,IL17F,SNW1,BCL9L,ADAM17,NKX2-1,HSP90AB1,SMURF2,ITGB5,CDH5,GCNT2,ZYX,ZNF451,SDCBP,BCL9,CLDN5,STK11,TGFBR1,SMAD2,CDKN1C,CITED1,ASPN,TGFB2,MEN1,HSPA1A,SNX25,ZFYVE9,TGFBR2,SNX6,STUB1,CDKN2B,PXN,NLK,PIN1,PDPK1,ADAM9,JUN,ENG,TRIM33,SMAD4,EID2,ARRB2,ACVR1,VASN,SIRT1,PRDM16,FLCN,TWSG1,PMEPA1,ACVRL1,USP9X,PPM1A,SOX11,PBLD,STRAP,LEMD3,ING2,FERMT2,HIPK2,HPGD,TGFB3,SMAD6,TGFB1I1,USP15,SMAD3,PTK2,URS0000065D58_9606,TGFB1,FOS	91
TP53 signaling (GO:0072331)	RPL26,ATM,RRS1,UBB,NDRG1,TP53,RPS7,SOX4,MYBBP1A,PRKN,TP53BP2,PAK1IP1,NOP2,MIF,MDM4,TFAP4,TP73,USP28,PLA2R1,ZNF385A,ATR,SNW1,RPL5,PMAIP1,CRADD,SESN2,HEXIM1,PIDD1,KAT5,MAGEA2,MSX1,STK11,ANKRD1,PHLDA3,RPS27L,TWIST1,SMYD2,BOP1,EP300,CDKN1A,PDK2,MYO6,IFI16,KDM1A,KMT5A,PPP1R13B,TRIAP1,PAXIP1,CDIP1,CD74,NOP53,BCL3,E2F7,SNAI2,RPL11,CASP2,BOK,FHIT,HINT1,DDX5,FOXM1,SP100,SNAI1,RPL23,PSMD10,SIRT1,MUC1,ZNF385B,PTTG1IP,MDM2,CD44,RNF34,ING4,RPF2,BAG6,RRP8,USP10,HIPK2,CDK5RAP3,PYCARD,PYHIN1,RPS6KA6,AEN,URS000039ED8D_9606,RFFL,DYRK2	86
cell cycle (Pancan Atlas)	CDKN1A,CDKN1B,CDKN2A,CDKN2B,CDKN2C,CCND1,CCND2,CCND3,CCNE1,CDK2,CDK4,CDK6,RB1,E2F1,E2F3	15
HIPPO (Pancan Atlas)	STK4,STK3,SAV1,LATS1,LATS2,MOB1A,MOB1B,YAP1,WWTR1,TEAD1,TEAD2,TEAD3,TEAD4,PTPN14,NF2,WWC1,TAOK1,TAOK2,TAOK3,CRB1,CRB2,CRB3,LLGL1,LLGL2,HMCN1,SCRIB,HIPK2,FAT1,FAT2,FAT3,FAT4,DCHS1,DCHS2,CSNK1E,CSNK1D,AJUBA,LIMD1,WTIP	38
MYC (Pancan Atlas)	MAX,MGA,MLX,MLXIP,MLXIPL,MNT,MXD1,MXD3,MXD4,MXI1,MYC,MYCL,MYCN	13
NOTCH (Pancan Atlas)	ARRDC1,CNTN6,CREBBP,EP300,HES1,HES2,HES3,HES4,HES5,HEY1,HEY2,HEYL,KAT2B,KDM5A,NOTCH1,NOTCH2,NOTCH3,NOTCH4,NOV,NRARP,PSEN2,LFNG,ITCH,NCSTN,SPEN,JAG1,APH1A,FBXW7,FHL1,THBS2,HDAC2,MFAP2,CUL1,RFNG,NCOR1,NCOR2,MFAP5,HDAC1,NUMB,JAG2,MAML3,MFNG,CIR1,CNTN1,MAML1,MAML2,NUMBL,PSEN1,PSENEN,RBPJ,RBPJL,RBX1,SAP30,SKP1,SNW1,CTBP1,CTBP2,ADAM10,APH1B,ADAM17,DLK1,DLL1,DLL3,DLL4,DNER,DTX1,DTX2,DTX3,DTX3L,DTX4,EGFL7	71
NRF2 (Pancan Atlas)	NFE2L2,KEAP1,CUL3	3
PI3K (Pancan Atlas)	EIF4EBP1,AKT1,AKT2,AKT3,AKT1S1,DEPDC5,DEPTOR,INPP4B,MAPKAP1,MLST8,MTOR,NPRL2,NPRL3,PDK1,PIK3CA,PIK3CB,PIK3R1,PIK3R2,PIK3R3,PPP2R1A,PTEN,RHEB,RICTOR,RPTOR,RPS6,RPS6KB1,STK11,TSC1,TSC2	29
TGF-Beta (Pancan Atlas)	TGFBR1,TGFBR2,ACVR2A,ACVR1B,SMAD2,SMAD3,SMAD4	7
RTK RAS (Pancan Atlas)	ABL1,EGFR,ERBB2,ERBB3,ERBB4,PDGFRA,PDGFRB,MET,FGFR1,FGFR2,FGFR3,FGFR4,FLT3,ALK,RET,ROS1,KIT,IGF1R,NTRK1,NTRK2,NTRK3,SOS1,GRB2,PTPN11,KRAS,HRAS,NRAS,RIT1,ARAF,BRAF,RAF1,RAC1,MAP2K1,MAP2K2,MAPK1,NF1,RASA1,CBL,ERRFI1,CBLB,CBLC,INSR,INSRR,IRS1,SOS2,SHC1,SHC2,SHC3,SHC4,RASGRP1,RASGRP2,RASGRP3,RASGRP4,RAPGEF1,RAPGEF2,RASGRF1,RASGRF2,FNTA,FNTB,RCE1,ICMT,MRAS,PLXNB1,MAPK3,ARHGAP35,RASA2,RASA3,RASAL1,RASAL2,RASAL3,SPRED1,SPRED2,SPRED3,DAB2IP,SHOC2,PPP1CA,SCRIB,PIN1,KSR1,KSR2,PEBP1,ERF,PEA15,JAK2,IRS2	85
TP53 (Pancan Atlas)	TP53,MDM2,MDM4,ATM,CHEK2,RPS6KA3	6
WNT (Pancan Atlas)	CHD8,LEF1,LGR4,LGR5,LRP5,LRP6,LZTR1,NDP,PORCN,RSPO1,SFRP1,SFRP2,SFRP4,SFRP5,SOST,TCF7L1,TLE1,TLE2,TLE3,TLE4,WIF1,ZNRF3,CTNNB1,DVL1,DVL2,DVL3,FRAT1,FRAT2,FZD1,FZD10,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,FZD9,WNT1,WNT10A,WNT10B,WNT11,WNT16,WNT2,WNT3A,WNT4,WNT5A,WNT5B,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT9A,WNT9B,AMER1,APC,AXIN1,AXIN2,DKK1,DKK2,DKK3,DKK4,GSK3B,RNF43,TCF7,TCF7L2,CHD4	68
AAK1_kinase_targets	AP2M1,NUMB	2
ABL1_kinase_targets	ABI1,ABL1,ABL2,ANXA1,ATR,BCR,BTK,CASP9,CAT,CAV1,CD19,CDKN1A,CDKN1B,CEBPB,CRK,CRKL,CTNNB1,CTTN,DAB1,DDX5,DLG4,EGFR,EMD,ERCC6,ESR1,ESR2,GNB2L1,GPX1,JAK2,JUN,LASP1,LGALS3,MDM2,MDM4,MET,MYC,MYLK,MYOD1,NCK1,NCOA3,NFAT5,NFKBIA,PARK2,PDGFRB,PDK1,PIK3AP1,PIK3R1,PLEKHG2,PLSCR1,PRKD1,PSMA7,PTPN11,RAD51,RAD52,RAD9A,RAPGEF1,RB1,RIN1,ROBO1,SORBS1,SORBS3,SPTLC1,SRCIN1,STK3,TOP1,TP63,TP73,VAV1,WAS,WASL,WWTR1,YAP1,ZAP70	73
ABL2_kinase_targets	ABL2,CAT,CEBPB,CRK,GPX1,LGALS3,MAPT,NFKBIB,PDGFRB,PSMA7,PTPN11,RIN1,SIVA1	13
ADRBK1_kinase_targets	ADRB2,CHRM2,CLTB,EZR,HRH1,KCNIP3,LOC100399755,MAPK14,MSN,OPRD1,OPRM1,RDX,RPLP2,SLC9A5,SMAD2,SNCA,SSTR2,TBXA2R,TRHR,TUBB,TUBB3	21
ADRBK2_kinase_targets	CCR5,OPRK1,SSTR2,TBXA2R	4
AKT1_kinase_targets	ACAP1,ACIN1,ADRB2,AGAP2,AKT1,AKT1S1,ALYREF,AR,ARFIP2,ARHGAP22,ATXN1,BAD,BCL10,BCL2L11,BEX1,BRAF,BRCA1,CACNB2,CARHSP1,CASP9,CBY1,CCDC88A,CCT2,CDCA7,CDK2,CDKN1A,CDKN1B,CDKN1C,CELF1,CFLAR,CHEK1,CHUK,CLK2,COPS6,CREB1,CREBBP,CSNK1D,CTNNB1,CTNND2,CYTH2,DLC1,DNAJC5,DNMT1,EDC3,EIF2AK3,EIF4B,EP300,EPHA2,ESR1,ESR2,ESRRG,EZH2,FAM129A,FANCA,FLNC,FOXA2,FOXG1,FOXO1,FOXO3,FOXO4,GAB2,GABRB2,GATA1,GATA2,GJA1,GOLGA3,GRIN2C,GSK3A,GSK3B,HIST1H2BB,HJURP,HK2,HMOX1,HNRNPA1,HSPB1,HTRA2,HTT,ILF3,IRAK1,IRS1,ITGB3,ITPR1,KCNH2,KHSRP,LMNA,LTB4R2,MAP2K4,MAP3K11,MAP3K5,MAP3K8,MDM2,MDM4,METTL1,MST1R,MTOR,MXD1,NCF1,NCOR1,NDRG2,NOS3,NR3C1,NR4A1,NUAK1,PACS2,PALLD,PAWR,PCBP1,PDCD4,PDE3A,PEA15,PFKFB2,PFKFB3,PHF20,PIKFYVE,PKMYT1,PLCG1,PLN,PPARGC1A,PPP1CA,PRKAA1,PRPH,PTPN1,RAC1,RANBP3,RARA,RGCC,RICTOR,RNF11,RPS3,RUNX2,S1PR1,SCNN1A,SH2B2,SH3BP4,SH3RF1,SKI,SLC9A1,SOX2,SRPK2,SSB,STK3,STK4,SYTL1,TAL1,TBC1D1,TBC1D4,TERF1,TERT,TKT,TOPBP1,TP53RK,TSC2,TTC3,TWIST1,USP8,VCP,VIM,WEE1,WNK1,XIAP,YAP1,YBX1,YWHAZ,ZFP36L1,ZYX	165
AKT2_kinase_targets	ANKRD2,CBY1,CD34,CHUK,CLK2,CTNNB1,EDC3,ESR1,EZR,FLNC,GAPDH,HIST1H3A,HTRA2,KHSRP,MAP3K5,MYO5A,PCBP1,PITX2,RACGAP1,SH3RF1,SIK2,SRSF5,XIAP	23
AKT3_kinase_targets	AGO2,BRAF	2
ALK_kinase_targets	ALK,ATIC,GRB2,PTPN11,SFPQ,SRCIN1,STAT3,VASP	8
ARAF_kinase_targets	BAD,MAP2K1	2
ATM_kinase_targets	AATF,APLF,ATF2,ATM,AVEN,BAG6,BLM,BRCA1,BUB1,C1QBP,CCDC6,CHD4,CHEK1,CHEK2,CREB1,DBF4,DCLRE1C,DYRK2,E2F1,EIF4EBP1,EP300,EWSR1,EYA3,FANCD2,FANCI,FBXO31,FUS,HIF1A,HUWE1,KHSRP,MAD1L1,MCM3,MDM2,MDM4,MED1,MEN1,MRE11A,NABP2,NBN,NFAT5,NHEJ1,NUSAP1,PBRM1,PPP1R2,PRKDC,PTEN,RAD17,RAD18,RAD9A,RASSF1,RBBP8,RFWD2,RFWD3,RIF1,RNF20,RNF40,RPA2,RRM2B,SIAH1,SLX4,SMAD1,SMARCC2,SMC1A,SMC3,SP1,TAOK1,TAOK3,TDP1,TERF1,TOPBP1,TP53,TP53BP1,TP63,TRIM28,TTC5,UBR5,UIMC1,USP10,USP15,USP28,USP34,VCP,WHSC1,WRN,XPA,ZBTB2,ZNF148,ZNF420	88
ATR_kinase_targets	ATM,ATR,ATRIP,BLM,BRCA1,CCAR2,CCDC82,CDKN2A,CHEK1,CHEK2,CHTF18,CNOT2,CREB1,CUX1,DAXX,DBF4,DCLRE1C,E2F1,EWSR1,FANCA,FANCD2,FARSA,GINS2,GPS1,HUWE1,IRS1,KMT2A,MARCKSL1,MCM2,MCM3,MDC1,MDM2,NBN,NPM1,PHF14,POLH,PRKDC,RAD17,RBBP8,RPA2,SIAH1,SMARCC2,SMC1A,SP1,SUGP2,SUN2,TP53,TRP53,TUT1,UIMC1,VCP,XPA,ZSCAN5A	53
AURKA_kinase_targets	AR,ARPC1B,AURKA,BRCA1,CDC25B,CENPA,CETN2,CPEB1,CRMP1,DCTN1,DLGAP5,ESR1,FADD,FAF1,GSK3B,HIST1H3A,KIF2C,LATS2,MAP9,MAPRE3,MBD3,MCM2,MYBBP1A,NDEL1,PARD3,PHLDA1,PIN1,PLK1,RALA,RASSF1,TACC3,TP53,WWC1	33
AURKB_kinase_targets	AHNAK,ARHGAP21,ATM,AURKB,BIRC5,CASC5,CBX5,CCDC86,CDCA5,CDCA8,CENPA,CHMP4C,CKAP2,COBLL1,DDA1,DDX3X,DDX52,DEK,DES,DIAPH2,DSN1,GFAP,H3F3A,HDAC5,HIST1H2AIL,HIST1H2BB,HIST1H3A,HMGN2,HMGN5,HSP90AB1,INCENP,KIF23,KIF2C,KRT8,LMO7,MAPRE3,MISP,MKI67,MPHOSPH10,MYBBP1A,MYL12B,NAGK,NDC80,NELFE,NINL,NSUN2,NUMA1,NUSAP1,PARD3,PLEC,PPHLN1,PRKDC,PTRF,RACGAP1,RASSF1,RB1,RBM14,RBM3,RBMX,RIF1,RPL21,RPL8,RPS10,SEPT1,SH2D4A,SSH3,SUPT16H,TP53,UTP3,VIM,WWC1,YY1	72
AURKC_kinase_targets	HIST1H3A,TACC1	2
BCR_kinase_targets	MLLT4,YWHAQ,YWHAZ	3
BCR/ABL_kinase_targets	BCR,CDV3,CRKL,GRB2,JAK2,RAD51,RAD52	7
